Edad,D1_MaxD12m,DiasAtrasos_12m,AntiguedadSF_u24m,flg_Garantias,flg_SituacionLaboral,Default,flg_Clean
36,0.112848721,1,23,0,1,0,1
44,0.921864616,1,21,0,0,0,1
39,0.689449117,2,20,0,1,0,1
40,0.070920403,2,20,0,1,0,1
41,0.930039665,2,24,1,1,0,1
30,0.518846509,1,23,0,0,0,1
47,0.881887761,3,24,0,1,0,1
41,0.116469077,2,18,0,1,0,1
51,0.050262812,4,19,0,0,0,1
31,0.718719519,0,24,0,1,0,1
38,0.99182889,8,22,0,0,0,1
38,0.840934695,4,21,0,1,0,1
27,0.760655251,1,21,0,1,0,1
23,0.760084268,1,23,0,0,0,1
32,0.036459396,0,13,0,1,0,1
45,0.44771201,2,24,0,1,0,1
24,0.636407966,2,24,0,0,0,1
41,0.817824684,1,20,0,1,1,1
39,0.963543466,1,21,0,1,0,1
40,0.752278922,0,15,0,1,0,1
42,0.810761123,3,24,0,1,0,1
39,0.365694245,3,19,0,1,0,1
35,0.762398872,2,13,0,1,0,1
35,0.01638786,1,18,0,1,0,1
29,0.913116533,1,23,0,1,0,1
43,0.038204129,1,22,0,1,0,1
47,0.011734897,2,23,0,0,0,1
38,0.266051995,2,22,0,1,0,1
33,0.267568468,1,22,0,0,0,1
48,0.501994694,4,23,0,0,0,1
42,0.025781964,1,14,0,1,0,1
39,0.14821525,9,23,1,1,0,1
42,0.462823762,2,23,0,1,0,1
35,0.057446956,1,19,0,1,0,1
39,0.91887818,3,20,0,0,0,1
29,0.123144981,4,15,0,1,0,1
39,0.923447427,0,23,0,1,0,1
51,0.97573564,1,24,1,1,0,1
33,0.234973758,2,20,0,0,0,1
38,0.342097967,1,19,0,1,0,1
45,0.411224665,1,23,1,1,0,1
46,0.726608338,1,22,0,0,0,1
38,0.924267309,4,23,0,1,0,1
32,0.973136047,3,24,0,0,0,1
34,0.227038116,4,22,0,0,0,1
30,0.182107806,1,24,0,1,0,1
39,0.101853156,1,18,1,0,0,1
32,0.018558662,1,22,0,1,0,1
48,0.269227454,1,24,1,1,0,1
38,0.931841492,2,24,0,1,0,1
33,0.144954285,2,20,0,1,0,1
41,0.999333822,2,21,0,1,0,1
36,0.897855205,1,21,1,1,0,1
35,0.645097214,4,20,0,1,0,1
30,0.719108919,4,18,0,1,0,1
45,0.11792762,1,23,0,1,0,1
38,0.834143784,2,22,1,1,0,1
42,0.842670963,2,24,0,1,0,1
40,0.925010288,2,23,1,1,0,1
42,0.338604456,1,21,0,1,0,1
42,0.733980153,3,20,0,1,0,1
34,0.932229718,1,23,0,1,0,1
40,0.96726971,2,23,1,1,0,1
42,0.507388468,1,22,0,1,0,1
44,0.988395866,3,22,1,1,0,1
46,0.210519033,2,20,0,0,0,1
41,0.0030458,0,18,0,1,0,1
35,0.321622202,2,17,0,1,0,1
41,0.788709249,3,21,0,0,0,1
44,0.747737928,1,24,1,0,0,1
37,0.534656762,2,14,0,1,0,1
27,0.470139159,1,24,0,1,0,1
34,0.355020234,4,23,1,1,0,1
39,0.985094719,1,16,0,0,0,1
44,0.212768111,1,18,0,0,0,1
36,0.997519848,4,22,0,1,0,1
40,0.332339704,3,22,0,1,0,1
43,0.500484245,1,23,0,1,0,1
36,0.31276098,0,23,0,1,0,1
41,0.008725349,2,21,1,0,0,1
47,0.882134863,0,13,0,1,0,1
29,0.000615256,1,21,0,1,0,1
43,0.881137504,2,24,0,0,0,1
48,0.99418328,2,20,0,0,0,1
50,0.014802734,2,24,0,1,0,1
43,0.128690417,1,23,0,1,0,1
39,0.521732052,1,14,0,1,0,1
46,0.989373997,2,17,0,1,0,1
26,0.457086405,1,24,0,0,0,1
32,0.551842849,1,24,0,1,0,1
42,0.992497469,2,24,1,0,0,1
31,0.91223065,0,17,0,1,0,1
43,0.416129428,4,24,0,0,0,1
43,0.005751508,1,13,0,1,0,1
39,0.984810372,1,13,0,1,0,1
29,0.992916881,2,14,0,1,0,1
34,0.435990344,3,21,0,1,0,1
42,0.215312503,3,19,0,1,1,1
43,0.340076118,1,20,0,0,1,1
42,0.016259756,5,24,0,1,0,1
36,0.516729494,2,22,0,1,0,1
36,0.882932416,3,23,1,1,0,1
36,0.006529858,1,21,0,1,0,1
42,0.980773356,1,24,0,1,0,1
36,0.558482518,3,14,1,1,1,1
32,0.066851217,0,23,1,1,0,1
46,0.146115618,5,23,0,1,0,1
34,0.10418762,2,18,0,1,0,1
50,0.62224126,0,24,0,0,0,1
48,0.391734831,4,22,0,0,0,1
25,0.040449416,1,24,0,1,0,1
37,0.50585791,2,19,0,0,1,1
35,0.628987206,1,23,1,0,0,1
39,0.858944255,2,21,1,0,0,1
36,0.854559369,1,16,0,1,0,1
41,0.14293604,1,24,0,1,0,1
45,0.059885743,2,19,0,1,0,1
32,0.451930661,1,13,0,0,0,1
39,0.585734937,2,17,0,1,0,1
50,0.15547625,1,23,1,1,0,1
37,0.516898546,2,24,0,1,0,1
40,0.029678449,6,20,0,1,0,1
36,0.470849226,3,23,1,1,0,1
33,0.999000497,1,24,0,0,0,1
30,0.989909458,0,23,0,1,0,1
51,0.732793861,2,23,0,1,0,1
41,0.009456196,1,24,1,1,0,1
35,0.089707196,0,24,0,1,0,1
48,0.559844584,2,24,0,1,0,1
36,0.651189064,2,23,0,0,0,1
46,0.168952442,2,18,1,0,0,1
40,0.106930759,5,17,0,0,1,1
38,0.052277529,2,23,0,1,1,1
41,0.136126498,4,14,0,1,0,1
44,0.007487386,2,23,0,1,0,1
39,0.025080708,1,22,0,1,0,1
36,0.63968139,3,13,1,1,0,1
30,0.258520402,1,24,1,0,0,1
32,0.646470615,2,24,0,1,0,1
47,0.250201414,3,17,0,1,0,1
34,0.488124815,2,21,0,1,0,1
36,0.3696288,2,18,0,0,0,1
41,0.592492821,3,24,1,1,0,1
35,0.217588229,4,24,1,1,0,1
33,0.070424038,1,24,0,0,0,1
40,0.825618349,1,22,0,0,0,1
42,0.128004087,7,22,0,1,0,1
39,0.966128862,5,22,0,0,0,1
52,0.616587063,2,18,0,1,0,1
32,0.003933826,3,22,0,0,0,1
38,0.563227481,3,23,1,1,0,1
36,0.097246739,3,18,0,0,0,1
42,0.00121771,3,24,0,1,0,1
37,0.997433392,4,23,0,1,0,1
50,0.809972136,1,19,0,1,0,1
41,0.11523806,2,24,0,1,0,1
35,0.94675806,4,24,1,0,0,1
36,0.03114577,1,23,0,1,0,1
36,0.609520722,1,21,0,1,0,1
48,0.323083849,1,22,0,0,0,1
42,0.570359824,1,17,0,0,0,1
40,0.709256559,1,24,1,0,0,1
58,0.621908309,2,21,0,1,0,1
44,0.251184357,0,16,1,1,0,1
41,0.82008024,5,24,0,1,0,1
36,0.998766538,6,19,0,1,0,1
46,0.719953197,2,23,0,1,0,1
37,0.670243985,5,17,1,0,0,1
26,0.017297222,1,20,0,0,0,1
37,0.602548173,2,24,0,1,0,1
25,0.728542601,4,24,0,0,0,1
39,0.546259377,3,15,0,0,0,1
34,0.706012584,2,23,1,1,0,1
36,0.173691518,2,22,0,0,0,1
42,0.913928556,5,20,1,1,0,1
42,0.003903117,0,18,1,0,0,1
30,0.069864923,0,22,0,1,0,1
39,0.018257509,3,22,0,1,0,1
39,0.33422629,1,24,0,0,0,1
34,0.433618616,1,13,0,1,0,1
40,0.244909789,2,22,1,0,0,1
33,0.981582247,2,23,0,1,0,1
40,0.882680405,1,21,1,1,0,1
34,0.941569179,1,23,0,1,0,1
38,0.223472613,2,24,0,1,0,1
39,0.127559597,2,22,0,0,0,1
39,0.908862246,0,21,0,1,0,1
40,0.453330356,0,20,0,0,0,1
42,0.969647616,2,24,0,1,0,1
34,0.952925915,6,22,0,1,0,1
34,0.004275925,1,21,0,1,0,1
47,0.042633178,0,16,0,1,0,1
36,0.037464912,3,12,0,1,1,1
48,0.674719748,1,21,0,0,0,1
44,0.376738864,3,24,0,0,0,1
48,0.446469844,6,21,0,0,1,1
31,0.243499381,0,23,1,1,0,1
43,0.99893563,2,22,0,0,1,1
39,0.398095965,2,23,0,1,0,1
38,0.991634188,2,22,0,1,0,1
43,0.777218853,2,24,0,0,0,1
49,0.48374591,0,12,0,1,0,1
61,0.923291526,3,22,0,0,0,1
56,0.262000494,3,23,0,1,0,1
52,0.454899412,3,24,0,1,0,1
27,0.36505877,3,21,1,1,0,1
44,0.673357101,5,23,0,1,0,1
45,0.999130356,5,24,0,1,0,1
38,0.03541121,3,21,1,0,0,1
36,0.155248992,1,15,0,0,0,1
34,0.024863594,1,20,0,1,0,1
46,0.046133312,1,22,0,1,0,1
38,0.10513674,1,18,0,0,0,1
41,0.881268014,1,18,0,0,0,1
34,0.09080856,1,21,1,1,0,1
37,0.943991472,1,24,0,0,0,1
37,0.064787279,3,19,0,1,1,1
48,0.078363884,1,20,0,0,0,1
35,0.869597741,3,20,0,0,0,1
47,0.150770643,3,17,0,1,0,1
57,0.112728465,1,23,1,1,0,1
35,0.052765426,2,24,0,1,1,1
39,0.208173157,1,23,0,0,0,1
36,0.049320072,1,24,0,1,0,1
44,0.000317145,1,19,0,1,0,1
43,0.956389122,2,20,0,1,0,1
42,0.913530043,0,24,0,0,0,1
47,0.916670283,0,21,0,1,0,1
40,0.95378355,2,23,1,0,0,1
43,0.634289908,4,20,0,1,0,1
41,0.244943332,1,13,0,0,0,1
25,0.958587767,4,20,0,0,0,1
44,0.111107831,1,23,0,1,0,1
42,0.003308682,3,21,0,1,0,1
36,0.003183608,3,23,0,1,0,1
35,0.072176758,2,16,0,1,0,1
46,0.493813768,1,24,0,1,0,1
50,0.989477044,1,24,0,1,0,1
46,0.968016053,1,18,0,0,0,1
37,0.529981401,0,24,1,0,0,1
43,0.087029265,1,23,0,1,0,1
54,0.739332923,2,13,1,0,0,1
38,0.471183756,1,22,0,1,0,1
37,0.000267971,2,24,0,1,0,1
42,0.193000782,0,20,0,1,0,1
45,0.578428287,1,19,0,0,1,1
37,0.978808994,1,22,0,0,0,1
49,0.661624313,0,24,0,1,0,1
44,0.999762458,3,24,1,0,0,1
42,0.002658532,6,24,0,1,0,1
36,0.957067325,2,14,0,0,1,1
31,0.984837321,0,21,0,1,0,1
28,0.404058311,1,19,0,1,0,1
38,0.696576939,2,24,0,1,0,1
45,0.017151725,0,21,0,1,0,1
33,0.141539506,1,19,0,1,0,1
42,0.129661669,1,22,1,1,0,1
31,0.884733498,3,18,0,1,0,1
40,0.460200597,2,24,0,1,0,1
48,0.316192026,2,13,1,0,0,1
47,0.04507405,1,16,0,1,0,1
37,0.056607264,6,16,0,0,0,1
43,0.959541013,1,20,0,1,0,1
45,0.489031118,6,21,0,1,1,1
39,0.801354852,1,21,0,1,0,1
32,0.536597641,6,24,0,1,0,1
40,0.99787515,3,23,0,1,0,1
45,0.584416682,4,17,0,1,0,1
41,0.002077097,2,22,0,0,0,1
36,0.107004016,2,24,0,0,0,1
40,0.415430609,1,21,0,0,1,1
43,0.245729158,2,24,0,1,0,1
43,0.984701773,2,19,0,0,0,1
50,0.89888038,1,18,1,1,0,1
40,1.25E-05,4,20,0,0,0,1
36,0.003283365,0,24,0,1,0,1
30,0.120253174,2,24,0,1,0,1
33,0.755758609,1,20,0,0,0,1
40,0.045777552,0,24,0,0,0,1
32,0.69135192,2,23,0,0,0,1
40,0.800329153,3,15,0,1,0,1
33,0.572498354,1,24,0,1,0,1
43,0.565547518,2,24,0,1,0,1
40,0.997500884,2,19,0,0,0,1
32,0.120585562,1,23,0,1,0,1
47,0.534750402,4,23,0,0,0,1
41,0.777023805,2,23,0,1,0,1
45,0.599125174,2,15,0,0,0,1
52,0.224462525,0,23,0,1,0,1
39,0.821893171,2,16,1,1,0,1
46,0.967615467,1,24,0,0,0,1
33,0.958815927,0,18,0,0,0,1
27,0.554212921,1,14,0,1,0,1
42,0.369385327,3,22,0,1,0,1
39,0.804419512,2,24,0,0,0,1
52,0.737828063,1,24,0,1,0,1
37,0.013637157,1,24,0,0,0,1
39,0.302357102,9,17,0,1,0,1
44,0.083407382,1,11,0,0,0,1
39,0.739712949,4,24,0,0,0,1
33,0.163958808,1,17,1,1,0,1
33,0.578921397,2,17,0,0,0,1
45,0.589163413,2,23,0,1,0,1
46,0.701401154,2,23,0,1,0,1
37,0.969681368,2,23,1,1,0,1
42,0.490328238,0,19,0,1,0,1
43,0.519495157,3,23,0,1,0,1
47,0.002510394,1,20,0,0,0,1
50,0.926303604,2,23,0,1,0,1
38,0.776585799,4,22,1,1,0,1
57,0.289388897,3,19,0,1,0,1
42,0.797219253,2,24,0,1,0,1
31,0.30218855,0,24,0,1,0,1
41,0.005361826,0,23,0,1,0,1
33,0.013475289,2,24,0,0,1,1
43,0.969551893,2,22,0,0,0,1
32,0.016865143,1,20,0,1,0,1
41,0.515052138,5,18,1,1,0,1
34,0.923359136,3,19,0,1,0,1
23,0.079778414,2,22,0,1,0,1
35,0.526118102,3,22,0,1,0,1
44,0.487904116,1,21,0,0,0,1
52,0.539333223,1,13,1,1,0,1
35,0.964191563,1,23,0,0,0,1
47,0.019164993,1,19,1,1,0,1
51,0.251239022,1,20,0,0,0,1
39,0.342352298,0,23,0,0,0,1
38,0.029361272,2,24,0,1,0,1
41,0.726111148,0,22,0,0,0,1
44,0.003734741,2,11,1,1,0,1
37,0.987722832,1,17,0,0,1,1
37,0.946689868,1,17,0,0,0,1
44,0.897405841,3,23,0,1,0,1
48,0.858091984,6,24,0,1,0,1
44,0.572467674,2,19,0,1,0,1
39,0.008796662,2,14,0,1,0,1
36,0.087229544,1,15,1,0,0,1
34,0.037483636,0,23,0,1,0,1
56,0.155180237,1,18,0,1,0,1
46,0.843309318,0,20,0,1,0,1
39,0.046314641,2,22,0,1,0,1
39,0.01655387,0,15,0,1,0,1
42,0.516148548,1,22,0,0,0,1
31,0.06882548,3,23,0,0,1,1
40,0.524466095,1,18,0,1,0,1
34,0.874169897,1,23,0,1,0,1
38,0.000625733,3,24,0,1,0,1
40,0.97228011,5,24,0,1,0,1
44,0.701980745,3,24,0,1,0,1
42,0.172184418,1,24,1,1,0,1
41,0.882527094,1,22,0,0,0,1
41,0.057417918,1,21,1,1,0,1
44,0.987925843,3,18,1,1,0,1
34,0.117159181,2,16,0,1,0,1
37,0.938161112,2,24,0,1,0,1
42,0.530958507,2,24,0,1,0,1
36,0.907852466,0,23,0,1,0,1
39,0.299772864,1,17,0,0,0,1
54,0.860226651,4,19,0,1,0,1
38,0.064536818,2,22,0,1,0,1
41,0.629963571,2,24,0,1,0,1
54,0.081414757,1,22,0,1,0,1
38,0.270350777,1,19,0,1,0,1
46,0.997083272,2,23,0,1,0,1
34,0.819242211,3,15,0,0,0,1
37,0.087797364,7,13,0,1,0,1
50,0.002164691,1,22,1,1,0,1
45,0.346150505,1,24,0,0,0,1
33,0.562773127,1,21,0,0,0,1
42,0.987188182,2,19,0,0,1,1
34,0.489648068,3,23,1,0,0,1
24,0.395578825,3,21,0,1,0,1
44,0.883535884,1,21,0,1,0,1
44,0.139724638,0,24,0,1,0,1
51,0.957732892,3,14,1,1,0,1
39,0.919715074,0,22,1,1,0,1
31,0.926303887,2,18,0,1,0,1
34,0.702906512,2,21,0,1,0,1
26,0.985020793,6,18,1,1,0,1
38,0.991669379,1,16,0,1,1,1
39,0.997865764,1,23,0,1,0,1
44,0.092064953,2,24,1,1,0,1
47,0.346195721,4,24,0,1,0,1
30,0.43062073,0,19,0,1,0,1
37,0.946439279,1,19,0,0,0,1
37,0.718441725,3,23,0,0,0,1
34,0.559291827,0,23,0,1,0,1
41,0.794143681,1,24,0,0,0,1
32,0.082992752,0,15,0,0,0,1
37,0.218259599,1,24,0,1,0,1
51,0.645217362,1,14,1,1,0,1
47,0.179136736,6,21,0,1,0,1
34,8.42E-05,3,21,1,0,0,1
40,0.927449292,2,24,0,1,0,1
38,0.745877823,2,23,0,1,0,1
54,0.859087858,1,24,0,1,0,1
35,0.913242368,1,24,0,0,0,1
46,0.884907247,1,22,0,1,0,1
42,0.199883699,6,23,0,1,0,1
41,0.356153927,1,20,1,1,0,1
42,0.979192157,3,23,0,1,0,1
36,0.770616775,2,24,0,1,0,1
48,0.914497212,2,23,0,0,0,1
45,0.03188202,2,20,0,1,0,1
37,0.007935008,0,24,0,1,0,1
43,0.474899307,1,24,0,1,0,1
28,0.112726065,1,24,0,1,0,1
38,0.329111151,2,23,0,0,0,1
43,0.563223309,1,15,0,1,1,1
40,0.277808497,3,18,0,1,0,1
30,0.057359722,1,23,0,1,0,1
51,0.256509405,1,18,0,1,0,1
34,0.297852753,4,18,0,1,0,1
35,0.81048307,1,20,0,1,0,1
38,0.997043352,2,23,1,1,0,1
37,0.126157742,3,18,0,1,0,1
39,0.70003227,4,21,0,1,0,1
49,0.045615734,1,20,1,1,0,1
32,0.005385569,3,22,1,1,0,1
37,0.999335128,2,17,0,1,0,1
34,0.047091059,2,19,0,0,0,1
36,7.41E-06,0,18,0,0,0,1
29,0.997013855,1,23,0,0,0,1
41,0.275706976,2,23,0,1,0,1
47,0.907265041,1,21,0,1,0,1
46,0.936704748,2,22,0,1,1,1
39,0.687216495,6,18,0,0,1,1
33,0.020854667,2,21,0,0,0,1
42,0.581122701,3,24,0,1,1,1
43,0.984005495,1,18,0,1,0,1
45,0.062553859,2,20,0,1,0,1
